goos: darwin
goarch: arm64
pkg: github.com/robby031/concurrent-map
cpu: Apple M4
BenchmarkRange-10                             	   20277	     59515 ns/op	      62 B/op	       1 allocs/op
BenchmarkRange-10                             	   20470	     58764 ns/op	      62 B/op	       1 allocs/op
BenchmarkRange-10                             	   20476	     58475 ns/op	      62 B/op	       1 allocs/op
BenchmarkRange-10                             	   20467	     58792 ns/op	      62 B/op	       1 allocs/op
BenchmarkRange-10                             	   20491	     58697 ns/op	      62 B/op	       1 allocs/op
BenchmarkRange-10                             	   20386	     59030 ns/op	      62 B/op	       1 allocs/op
BenchmarkRange-10                             	   20395	     59023 ns/op	      62 B/op	       1 allocs/op
BenchmarkRange-10                             	   20442	     58979 ns/op	      62 B/op	       1 allocs/op
BenchmarkRange-10                             	   20332	     59286 ns/op	      62 B/op	       1 allocs/op
BenchmarkRange-10                             	   20103	     59073 ns/op	      63 B/op	       2 allocs/op
BenchmarkParallelRange-10                     	   34318	     31625 ns/op	    1552 B/op	      33 allocs/op
BenchmarkParallelRange-10                     	   38108	     31988 ns/op	    1552 B/op	      33 allocs/op
BenchmarkParallelRange-10                     	   37500	     31804 ns/op	    1552 B/op	      33 allocs/op
BenchmarkParallelRange-10                     	   38334	     31466 ns/op	    1552 B/op	      33 allocs/op
BenchmarkParallelRange-10                     	   37545	     31825 ns/op	    1552 B/op	      33 allocs/op
BenchmarkParallelRange-10                     	   37600	     31664 ns/op	    1552 B/op	      33 allocs/op
BenchmarkParallelRange-10                     	   38127	     31461 ns/op	    1552 B/op	      33 allocs/op
BenchmarkParallelRange-10                     	   38166	     31898 ns/op	    1552 B/op	      33 allocs/op
BenchmarkParallelRange-10                     	   37618	     31679 ns/op	    1552 B/op	      33 allocs/op
BenchmarkParallelRange-10                     	   37588	     31652 ns/op	    1552 B/op	      33 allocs/op
BenchmarkRangeInteger-10                      	   20484	     58700 ns/op	      49 B/op	       1 allocs/op
BenchmarkRangeInteger-10                      	   20482	     58776 ns/op	      49 B/op	       1 allocs/op
BenchmarkRangeInteger-10                      	   20466	     58739 ns/op	      49 B/op	       1 allocs/op
